Years,Total Overdose Deaths,  Female,  Male,  White (Non-Hispanic),      Female,      Male,  Black (Non-Hispanic),      Female,      Male,  Asian* (Non-Hispanic),      Female,      Male,  Native Hawaiin or Other Pacific Islander* (Non-Hispanic),      Female,      Male,  Hispanic,      Female,      Male,  American Indian or Alaska Native (Non-Hispanic),      Female,      Male,Any Opioid1,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic),Prescription Opioids2,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic),Synthetic Opioids other than Methadone (primarily fentanyl)3,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic),Heroin4,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic),Stimulants5a,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic),Cocaine5,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic),Psychostimulants With Abuse Potential (primarily methamphetamine)6,  Female,  Male,  White (Non-Hispanic),  Black (Non-Hispanic),  Asian* (Non-Hispanic),  Native Hawaiian or Other Pacific Islander* (Non-Hispanic),  Hispanic,  American Indian or Alaska Native (Non-Hispanic)
1999,6.1,3.9,8.2,6.2,4.3,8.0,7.5,4.0,11.5,,,,,,,5.4,2.2,8.6,6.0,5.2,6.7,2.9,1.4,4.3,2.8,3.5,0.3,,3.5,2.9,1.2,0.7,1.7,1.3,0.8,,,1.6,1.3,0.3,0.2,0.3,0.3,0.1,,,0.1,,0.7,0.2,1.2,0.7,0.8,,,1.1,,1.5,0.7,2.3,1.2,3.7,,,1.8,1.1,1.4,0.6,2.1,1.0,3.7,,,1.7,0.9,0.2,0.1,0.3,0.2,0.1,,,0.2,
2000,6.2,4.1,8.3,6.6,4.5,8.6,7.3,4.2,10.9,,,,,,,4.6,2.0,7.1,5.5,4.3,6.7,3.0,1.6,4.4,3.1,3.5,0.3,,2.7,2.7,1.3,0.9,1.8,1.6,0.8,,,1.1,1.3,0.3,0.3,0.3,0.3,0.1,,,0.1,,0.7,0.2,1.1,0.6,0.9,,,0.9,,1.4,0.7,2.2,1.2,3.4,,,1.4,1.2,1.3,0.6,1.9,1.0,3.3,,,1.3,1.0,0.2,0.1,0.3,0.2,,,,0.2,
2001,6.8,4.6,9.0,7.4,5.3,9.6,7.6,4.4,11.2,,,,,,,4.5,2.2,6.7,6.9,6.5,7.5,3.3,1.9,4.8,3.7,3.3,0.3,,2.6,3.5,1.7,1.1,2.2,2.0,0.9,0.2,,1.1,2.0,0.3,0.3,0.4,0.4,0.2,,,0.1,,0.6,0.2,1.0,0.6,0.8,,,0.9,,1.5,0.8,2.3,1.3,3.6,,,1.5,1.4,1.3,0.7,2.0,1.0,3.6,0.2,,1.3,1.0,0.2,0.1,0.3,0.2,,0.2,,0.2,
2002,8.2,5.8,10.6,9.2,6.8,11.6,8.2,5.1,11.7,,,,,,,5.4,2.7,8.0,8.5,7.1,10.0,4.1,2.6,5.7,4.7,3.6,0.5,,3.2,4.1,2.3,1.6,2.9,2.8,1.2,0.3,,1.4,2.6,0.4,0.4,0.5,0.6,0.2,,,0.2,,0.7,0.2,1.2,0.7,0.9,,,1.0,,1.9,1.0,2.8,1.7,4.0,,,1.8,1.6,1.6,0.8,2.4,1.3,4.0,0.2,,1.5,1.1,0.3,0.2,0.5,0.4,0.1,0.2,,0.3,
2003,8.9,6.4,11.5,10.2,7.5,12.9,8.2,5.4,11.6,,,,,,,5.6,2.9,8.3,10.8,9.4,12.2,4.5,2.8,6.1,5.2,3.5,0.3,,3.2,5.3,2.6,1.8,3.3,3.2,1.1,0.2,,1.5,3.3,0.5,0.4,0.5,0.6,0.1,,,0.1,,0.7,0.2,1.2,0.7,0.8,,,1.0,,2.1,1.1,3.2,2.0,4.2,,,1.9,2.4,1.8,0.9,2.7,1.6,4.1,0.2,,1.6,1.7,0.4,0.2,0.6,0.5,0.1,0.3,,0.4,
2004,9.4,6.9,11.8,11.0,8.3,13.7,8.3,5.6,11.4,,,,,,,5.2,2.9,7.5,12.5,10.4,14.7,4.7,3.1,6.3,5.7,3.2,0.4,,2.9,6.2,2.9,2.1,3.7,3.7,1.4,0.3,,1.4,4.2,0.6,0.5,0.6,0.7,0.2,,,0.2,0.9,0.6,0.2,1.1,0.7,0.6,,,0.7,,2.3,1.2,3.3,2.2,4.4,,,1.8,2.7,1.9,1.0,2.8,1.7,4.3,0.2,,1.4,1.6,0.4,0.3,0.6,0.5,0.1,0.2,,0.4,1.3
2005,10.1,7.3,12.8,11.8,8.8,14.7,9.3,6.2,13.0,,,,,,,5.8,3.0,8.4,13.1,11.3,14.9,5.1,3.4,6.6,6.2,3.4,0.6,,3.0,6.9,3.2,2.4,4.1,4.1,1.6,0.4,,1.5,4.7,0.6,0.5,0.6,0.8,0.2,,,0.2,1.1,0.7,0.3,1.1,0.7,0.8,,,0.8,,2.6,1.4,3.8,2.4,5.0,,,2.2,3.3,2.1,1.1,3.1,1.9,4.9,0.2,,1.7,2.3,0.5,0.3,0.8,0.6,0.2,0.3,,0.5,1.5
2006,11.5,8.2,14.8,13.6,10.0,17.2,10.8,6.5,15.7,,,,,,,6.3,3.4,9.1,14.1,10.6,17.6,5.9,3.9,7.8,7.3,4.2,0.5,,3.3,7.1,3.9,2.8,4.9,5.0,1.8,0.4,,1.8,4.7,0.9,0.7,1.1,1.1,1.0,,,0.3,1.2,0.7,0.2,1.2,0.8,0.7,,,0.8,,2.9,1.5,4.4,2.7,5.8,,,2.4,2.8,2.5,1.3,3.8,2.3,5.6,0.4,,1.9,1.6,0.5,0.3,0.7,0.6,0.2,0.3,,0.5,1.2
2007,11.9,8.8,14.9,14.5,11.0,18.0,9.7,6.5,13.3,,,,,,,5.9,3.1,8.7,14.2,13.8,14.5,6.1,4.3,8.0,7.8,3.6,0.5,,3.2,7.8,4.2,3.2,5.3,5.6,1.8,0.3,,1.9,5.2,0.7,0.7,0.8,1.0,0.2,,,0.2,0.9,0.8,0.3,1.3,0.9,0.8,,,0.8,0.9,2.6,1.4,3.8,2.5,4.8,,,1.9,3,2.2,1.1,3.2,2.0,4.7,0.3,,1.6,2.1,0.4,0.3,0.7,0.6,0.2,0.2,,0.4,0.9
2008,11.9,8.9,14.9,14.8,11.4,18.3,8.4,5.6,11.6,,,,,,,5.8,3.2,8.4,15.8,12.2,19.6,6.4,4.4,8.4,8.2,3.4,0.6,,3.4,9.3,4.3,3.2,5.4,5.7,1.8,0.4,,1.9,6.1,0.8,0.7,0.8,1.0,0.2,,,0.2,1.8,1.0,0.4,1.6,1.2,0.8,,,1.0,,2.1,1.1,3.1,2.1,3.5,,,1.6,2.5,1.7,0.9,2.5,1.6,3.4,0.2,,1.3,1.5,0.4,0.2,0.6,0.5,0.2,0.3,,0.4,1.1
2009,11.9,9.1,14.8,15.0,11.6,18.3,8.3,5.8,11.1,,,,,,,5.8,3.5,8.2,17.7,14.0,21.5,6.6,4.6,8.7,8.6,3.6,0.6,,3.2,11.3,4.4,3.3,5.5,5.8,1.9,0.4,,1.7,7.8,1.0,0.9,1.0,1.2,0.3,,,0.3,2.4,1.1,0.4,1.8,1.3,0.9,,,1.0,1.3,1.9,1.0,2.8,1.9,3.4,,,1.5,2.8,1.4,0.7,2.1,1.3,3.2,0.2,,1.1,1.8,0.5,0.3,0.8,0.6,0.1,0.4,,0.4,1.2
2010,12.3,9.6,15.0,15.7,12.5,19.0,8.0,5.9,10.5,,,,,,,5.6,3.6,7.6,16.8,14.8,19.0,6.8,4.9,8.7,9.1,3.4,0.7,,2.9,9.4,4.7,3.6,5.8,6.4,2.0,0.5,,1.7,7.2,1.0,0.9,1.0,1.3,0.4,,,0.2,1.2,1.0,0.4,1.6,1.2,0.8,,,0.8,1.1,1.9,1.1,2.8,1.9,3.3,,,1.4,3.3,1.3,0.7,2.0,1.2,3.1,0.2,,0.9,1.9,0.6,0.4,0.8,0.7,0.2,0.4,,0.5,1.5
2011,13.2,10.2,16.1,16.9,13.3,20.5,8.5,6.2,11.3,,,,,,,6.1,4.0,8.1,18.2,15.9,20.5,7.3,5.2,9.4,9.7,3.8,0.8,,3.3,10.3,4.9,3.8,5.9,6.6,2.0,0.5,,1.8,7.1,0.8,0.8,0.9,1.2,0.3,0.1,,0.3,1.4,1.4,0.6,2.3,1.8,1.0,0.2,,1.0,1.8,2.2,1.3,3.1,2.2,3.3,,,1.6,3.6,1.5,0.8,2.2,1.4,3.1,0.2,,1.1,1.6,0.7,0.4,1.0,0.9,0.2,0.4,,0.5,2.4
2012,13.1,10.2,16.1,16.8,13.2,20.4,8.7,6.2,11.6,,,,,,,6.3,4.0,8.5,18.9,17.6,20.1,7.4,5.3,9.5,9.8,4.0,0.9,,3.5,11.0,4.5,3.7,5.3,6.0,2.0,0.6,,1.8,7.5,0.8,0.7,0.9,1.1,0.3,,,0.3,1.6,1.9,0.8,3.1,2.5,1.3,0.2,,1.3,1.7,2.2,1.3,3.1,2.3,3.2,,,1.6,3.9,1.4,0.8,2.0,1.3,3.0,0.2,,1.0,1.5,0.8,0.5,1.2,1.0,0.3,0.4,,0.6,2.6
2013,13.8,10.6,17.0,17.6,13.8,21.4,9.7,6.5,13.3,,,,,,,6.7,4.1,9.2,18.7,17.5,19.9,7.9,5.6,10.2,10.5,4.7,0.8,,3.8,10.6,4.4,3.7,5.1,5.9,2.2,0.5,,1.9,7.1,1.0,0.9,1.1,1.3,0.5,0.1,,0.3,1.2,2.7,1.2,4.2,3.4,2.0,0.3,,1.6,2.7,2.6,1.5,3.7,2.8,3.7,,,2.0,4.7,1.6,0.9,2.3,1.5,3.4,0.2,,1.1,1.3,1.2,0.7,1.6,1.4,0.4,0.5,,0.9,3.5
2014,14.7,11.1,18.3,19.0,14.6,23.2,10.5,7.3,14.2,,,,,,,6.7,4.1,9.3,20.9,16.9,25.0,9.0,6.3,11.7,12.0,5.6,0.9,,4.0,12.0,4.6,3.9,5.2,6.2,2.5,0.5,,1.8,7.2,1.8,1.3,2.2,2.4,1.1,0.2,,0.6,1.7,3.4,1.6,5.2,4.4,2.5,0.3,,1.9,3.7,3.0,1.7,4.2,3.3,3.8,,,1.9,5.9,1.7,1.0,2.4,1.7,3.4,0.2,,1.0,1.4,1.4,0.8,1.9,1.7,0.5,0.5,,1.0,4.5
2015,16.3,11.8,20.8,21.1,15.8,26.2,12.2,7.7,17.3,,,,,,,7.7,4.4,10.9,21.2,16.8,25.8,10.4,7.1,13.7,13.9,6.6,1.1,,4.6,12.1,4.7,4.0,5.4,6.4,2.6,0.5,,1.8,7.0,3.1,1.9,4.2,4.2,2.1,0.2,,0.9,2.0,4.1,2.0,6.3,5.4,3.1,0.5,,2.3,4.4,3.8,2.2,5.4,4.3,4.7,,,2.5,6.7,2.1,1.2,3.1,2.2,4.0,0.3,,1.3,1.6,1.8,1.1,2.5,2.2,0.8,0.7,,1.4,5.4
2016,19.8,13.4,26.2,25.3,17.7,32.7,17.1,10.4,24.7,,,,,,,9.5,5.0,13.9,24.2,20.2,28.3,13.3,8.5,18.1,17.5,10.3,1.5,,6.1,13.9,5.2,4.3,6.2,7.0,3.3,0.7,,2.1,6.5,6.2,3.5,8.9,8.2,5.6,0.6,,2.7,4.1,4.9,2.4,7.5,6.3,4.5,0.5,,2.8,5.0,5.4,3.1,7.8,6.1,7.1,,,3.4,8.7,3.2,1.8,4.7,3.4,6.1,0.4,,2.0,2.1,2.4,1.4,3.4,3.0,1.2,0.8,,1.5,6.9
2017,21.7,14.4,29.1,27.5,19.1,35.8,20.6,11.7,30.8,,,,,,,10.6,5.1,15.9,25.7,20.1,31.5,14.9,9.4,20.4,19.4,12.9,1.6,,6.8,15.7,5.2,4.2,6.1,6.9,3.5,0.6,,2.2,7.2,9.0,5.0,13.0,11.9,9.0,0.8,,3.7,6.5,4.9,2.5,7.3,6.1,4.9,0.5,,2.9,5.2,7.2,4.2,10.3,8.3,9.5,,,4.3,10.7,4.3,2.5,6.2,4.6,8.3,0.6,,2.5,2.5,3.2,1.9,4.5,4.2,1.6,1.0,,2.0,8.5
2018,20.7,13.6,27.9,25.9,18.0,33.8,21.3,11.6,32.4,3.0,1.8,4.4,12.3,,17.7,11.0,5.2,16.6,26.8,20.7,33.1,14.6,9.0,20.1,18.8,14.1,1.3,4.0,7.5,13.8,4.5,3.7,5.3,6.0,3.3,0.4,,2.0,4.7,9.9,5.5,14.2,12.7,11.2,0.9,,4.7,7.0,4.7,2.3,7.1,5.9,4.9,0.3,,3.1,4.8,8.0,4.7,11.4,9.1,10.8,1.3,8.4,5.2,13.6,4.5,2.6,6.4,4.7,9.1,0.5,,3.0,3.0,3.9,2.4,5.5,5.0,2.2,0.9,7.4,2.5,11.1
2019,21.6,13.7,29.6,26.2,17.6,34.5,24.8,13.4,37.7,3.3,1.6,5.2,9.5,,13.4,12.7,5.7,19.5,30.5,24.5,36.6,15.5,9.3,21.7,19.2,17.3,1.5,,8.8,17.7,4.2,3.4,5.1,5.5,3.5,0.4,,2.0,5.4,11.4,6.3,16.6,14.0,14.4,1.1,,6.3,10.8,4.4,2.2,6.6,5.2,5.1,0.4,,3.1,5.3,9.3,5.3,13.4,10.5,13.0,1.6,7.3,6.2,16.3,4.9,2.7,7.1,4.7,10.8,0.7,,3.4,3.9,5.0,2.9,7.1,6.5,2.9,1.0,6.6,3.1,13.1
2020,28.3,17.1,39.5,33.1,21.5,44.5,35.8,18.9,54.8,4.6,2.2,7.2,13.7,6.6,20.8,17.6,7.5,27.3,42.5,34.0,51.2,21.4,12.3,30.4,25.5,26.6,2.6,6.0,13.1,28.1,4.9,3.8,6.1,6.3,4.7,0.5,,2.5,6.5,17.8,9.6,25.9,20.9,24.1,2.2,4.5,10.7,21.6,4.1,2.0,6.1,4.8,5.0,0.5,,3.0,5.4,12.6,7.1,18.1,13.9,18.1,2.2,9.4,8.6,22.7,6.0,3.2,8.7,5.4,14.3,1.0,,4.4,5.6,7.5,4.3,10.6,9.4,5.1,1.4,9.0,4.7,17.9
2021,32.4,19.6,45.1,36.8,23.8,49.4,44.2,23.5,67.3,4.7,2.3,7.2,20.1,9.9,30.0,21.1,9.4,32.4,56.5,44.1,69.3,24.7,14.5,34.8,28.4,33.5,2.6,9.7,16.0,38.7,4.9,3.8,6.0,6.3,4.9,0.5,,2.5,7.4,21.8,12.2,31.4,24.8,31.4,2.2,8.9,14.2,33.6,1.0,1.0,1.0,3.1,3.6,0.3,,2.3,4.6,16.3,9.3,23.2,17.6,25.0,2.3,13.6,11.2,33.1,7.3,4.2,10.5,6.2,19.6,0.9,,5.4,7.0,10.0,5.8,14.3,12.6,7.2,1.5,11.8,6.4,27.4